title,authors,year,doi,journal
"Insights into hydrologic and hydrochemical processes based on concentration‐discharge and end‐member mixing analyses in the mid‐Merced River Basin, Sierra Nevada, California","Liu F., Conklin M.H., Shaw G.D ",2017,10.1002/2016WR019437,Water Resources Research
Technical report: The design and evaluation of a basin-scale wireless sensor network for mountain hydrology.,"Zhang, Z.; Glaser, S.D.; Bales, R.C.; Conklin, M.; Rice, R.; Marks, D.G. ",2017,10.1002/2016WR019619,Water Resources Research.
The influence of mixing on stable isotope ratios in porous media: A revised Rayleigh model,"Druhan J.L, Maher K. ",2017,10.1002/2016WR019666,"Water Resources Research, "
Concentration-discharge relationships during an extreme event: Contrasting behavior of solutes and changes to chemical quality of dissolved organic material in the Boulder Creek Watershed during the September 2013 flood,"Rue, G.P., Rock, N. D., Gabor, R. S., Pitlick, J., Tfaily, M., McKnight, D. M. ",2017,10.1002/2016WR019708,Water Resources Research
Geochemical evolution of the Critical Zone across variable time scales informs concentration-discharge relationships: Jemez River Basin Critical Zone Observatory,"McIntosh J.C., Schaumberg C., Perdrial J., Harpold A., Vázquez-Ortega A., Rasmussen C., Vinson D., Zapata-Rios X., Brooks P.D., Meixner T., Pelletier J., Derry L., Chorover J. ",2017,10.1002/2016WR019712,Water Resources Research
Geochemical evolution of the Critical Zone across variable time scales informs concentration-discharge relationships: Jemez River Basin Critical Zone Observatory,"McIntosh J.C., Schaumberg C., Perdrial J., Harpold A., Vázquez-Ortega A., Rasmussen C., Vinson D., Zapata-Rios X., Brooks P.D., Meixner T., Pelletier J., Derry L., Chorover J. ",2017,10.1002/2016WR019712,Water Resources Research
Geochemical evolution of the Critical Zone across variable time scales informs concentration-discharge relationships: Jemez River Basin Critical Zone Observatory,"McIntosh J.C., Schaumberg C., Perdrial J., Harpold A., Vázquez-Ortega A., Rasmussen C., Vinson D., Zapata-Rios X., Brooks P.D., Meixner T., Pelletier J., Derry L., Chorover J. ",2017,10.1002/2016WR019712,Water Resources Research
Geochemical evolution of the Critical Zone across variable time scales informs concentration-discharge relationships: Jemez River Basin Critical Zone Observatory,"McIntosh J.C., Schaumberg C., Perdrial J., Harpold A., Vázquez-Ortega A., Rasmussen C., Vinson D., Zapata-Rios X., Brooks P.D., Meixner T., Pelletier J., Derry L., Chorover J. ",2017,10.1002/2016WR019712,Water Resources Research
Hyporheic zone influences on concentration-discharge relationships in a headwater sandstone stream,"Hoagland, Beth, Russo, Tess A., Gu, Xin, Hill, Lillian, Kaye, Jason, Forsythe, Brandon, and Brantley, Susan L.  ",2017,10.1002/2016WR019717,"Water Resources Research, "
Controls on solute concentration-discharge relationships revealed by simultaneous hydrochemistry observations of hillslope runoff and stream flow: The importance of critical zone structure,"Kim, Hyojin, William E. Dietrich, Benjamin M. Thurnhoffer, Jim K. B. Bishop, and Inez Y. Fung ",2017,10.1002/2016WR019722,"Water Resources Research, "
Controls on solute concentration-discharge relationships revealed by simultaneous hydrochemistry observations of hillslope runoff and stream flow: The importance of critical zone structure,"Kim, Hyojin, William E. Dietrich, Benjamin M. Thurnhoffer, Jim K. B. Bishop, and Inez Y. Fung ",2017,10.1002/2016WR019722,"Water Resources Research, "
Controls on solute concentration-discharge relationships revealed by simultaneous hydrochemistry observations of hillslope runoff and stream flow: The importance of critical zone structure,"Kim, Hyojin, William E. Dietrich, Benjamin M. Thurnhoffer, Jim K. B. Bishop, and Inez Y. Fung ",2017,10.1002/2016WR019722,"Water Resources Research, "
"Snowmelt controls on concentration‐discharge relationships and the balance of oxidative and acid‐base weathering fluxes in an alpine catchment, East River, Colorado","Winnick M.J., Carroll R.W.H., Williams K.H., Maxwell, R.M., Dong, W., Maher K. ",2017,10.1002/2016WR019724,Water Resources Research
Colloidal transport in the Gordon Gulch catchment of the Boulder Creek CZO and its effect on C‐Q relationships for silicon,"Aguirre A.A., Derry L.A., Mills J.T., Anderson S.P. ",2017,10.1002/2016WR019730,Water Resources Research
